text_column,label
iguaba,safe
institutounivida,safe
i 9 bet 75,gambling
varzeagrande,safe
v 5 t 5 v 1 x 4,gambling
samokat,safe
distribuidorajcf,safe
lottohelden,gambling
cacuoc 365,gambling
super 8 casino,gambling
leiloesbr,safe
b 369,gambling
fapello,safe
axia,safe
mu 922,gambling
gracesbingo,gambling
csgoreactor,gambling
i 9 bet 36,gambling
liadm,safe
90 dakika,gambling
7 qp 74-blog,gambling
highroller,gambling
xingtou 888,gambling
cellologistics,safe
abcislands,gambling
gearnoc,safe
euterapeuta,safe
sber,safe
k 8 love,gambling
texascasino,gambling
sicoobprevi,safe
b 2 breservas,safe
localto,safe
i 9 bet 111,gambling
qq 628,gambling
oppo 96,gambling
onbet 111,gambling
grupoix,safe
contmatic,safe
dgabc,safe
vetormaker,safe
unimontes,safe
tecla,safe
lavras,safe
7 sultanscasino,gambling
kellylemos,safe
curtivendi,safe
vecdnlb,safe
vxcase,safe
proapostar,gambling
vp-app,gambling
frankcasino,gambling
vn 999,gambling
aliexpress-media,safe
supabets,gambling
genera,safe
vitoriafacil,gambling
eurico,safe
s 8 ly 7 n 3-data,gambling
cadecristao,safe
st 66606,gambling
midjourney,safe
f 6 p 7 g,gambling
jackpotslot 2020,gambling
srlimatelecom,safe
villento,gambling
qh 99,gambling
menuintegrado,safe
santosstore,safe
mus,safe
ipwho,safe
tk 88 d,gambling
onbet 7,gambling
antaq,safe
vw 115,gambling
h 3 bet,gambling
book 247,gambling
kdc-st 2,gambling
xnsite,gambling
vwin,gambling
rajahbet,gambling
bizjournals,safe
avatar 4040,safe
keyarena,gambling
omniacasino,gambling
viacaocatedral,safe
pontolivelo,safe
playpix,gambling
iamcook,safe
cisco,safe
vnclub 88,gambling
novacap,safe
actsantacatarina,safe
1 xslots-casino,gambling
betbyrne,gambling
14 news,safe
aethersx 2,safe
28 bet,gambling
cooperacorbanoficial,safe
desync,safe
79 king,gambling
bol,safe
onedio,safe
airbet 88,gambling
luckywinslots,gambling
chartink,safe
estradafacil,safe
loteria,gambling
gaiasite,safe
dwin 1,gambling
cbmsport,gambling
scc 10,safe
michaelkors,safe
espacejeux,gambling
k 801 k,gambling
ecuabet,gambling
ibcbetberry,gambling
congregacaocristanobrasil,safe
w 88 club,gambling
arquisp,safe
ssllabs,safe
nfemais,safe
kingstarcolchoes,safe
conam,safe
pegaplantao,safe
nairabet,gambling
zurkgp,safe
123 b,gambling
taive,gambling
dangky 789,gambling
new-1 k,gambling
k 8 vipro 27,gambling
essentialnutrition,safe
rachacuca,safe
1 eight 8,gambling
flipboard,safe
oversea,safe
5 u 7 w 2,gambling
aibotplatform,safe
adda,gambling
pedroejoaoeditores,safe
vitoria 524 k,gambling
lottery,gambling
trilhante,safe
idrc,safe
turfomania,safe
idiomaindependente,safe
bhminas,safe
bong 99,gambling
m 0 m 4 z,gambling
grandeaglecasino,gambling
77 king 88,gambling
prorodada,gambling
promogoread,safe
win 102,gambling
wctecnologia,safe
casinoportugal,gambling
789 betf,gambling
acm,safe
aposta 864,gambling
paytmfirstgames,gambling
kingkong 999,gambling
leagueoflegends,safe
ntv,safe
proline,gambling
cloudlinux,safe
goldebet,gambling
karhukasino,gambling
188 asia,gambling
azurcasino 2,gambling
sinaf,safe
4 wps,safe
i 9 bet 47,gambling
vz 99 vietnam,gambling
e 2 z 6 t,gambling
q 4 ezb-foto,gambling
employer,safe
s 555,gambling
tab,gambling
stanjames,gambling
rajbet,gambling
4 svh-site,gambling
ceudeprata,safe
redspins,gambling
caruaru,safe
marilia,safe
ubercontabrasil,safe
uni-koeln,safe
bet-csgo,gambling
tcylgslb,safe
onetpedia,gambling
dabliuhost,safe
gitcidadao,safe
fitanalytics,safe
bet 20,gambling
mrplay,gambling
bestbettoday,gambling
wagerallin,gambling
vittelgroup,safe
azza,safe
p 7 campaign,gambling
terra,safe
suomikasino,gambling
hot-m 2,gambling
2 ch 2,safe
idolfap,safe
fb 88 affvn,gambling
benvisavale,safe
csgorich,gambling
cuidarassistencia,safe
wbinsights,safe
1 h 8566,gambling
linkedin,safe
jesterjackpots,gambling
guru 11,gambling
agenciaeplus,safe
sun-jg,gambling
betanysports,gambling
gi 8,gambling
consorciosfg,safe
ipcc,safe
playson,gambling
betnacional,gambling
iclass,safe
sed,safe
funesbom,safe
pricefy,safe
betgun,gambling
leetcode,safe
randonconsorcios,safe
l 2 playoficial,safe
gismeteo,safe
cado,gambling
abacaxi-789,gambling
888 thao,gambling
drakecasino,gambling
saby,safe
sodo 02,gambling
slotv,gambling
centraldasapostas,gambling
aquiris,safe
sure 168,gambling
gameforge,safe
beltnutrition,safe
h 2 bet,gambling
livetex,safe
boylesports,gambling
sirbobet,gambling
fortinet,safe
enluaze,safe
heypoker,gambling
ffh 4 x,safe
sistemavillafacil,safe
radarinternet,safe
exp-tas,safe
raio-365,gambling
bong 88 net,gambling
norskeautomater,gambling
k 8 tip 01,gambling
betser,gambling
creasp,safe
citybingo,gambling
kaiserslots,gambling
spinprincess,gambling
brasilantenado,safe
playojo,gambling
drjones,safe
sieub 52,gambling
voltaredonda,safe
reo 17 w 5 s,gambling
datecode,safe
bradescocartoes,safe
infraestrutura,safe
srv 1 br,safe
gsa,safe
sverigeautomaten,gambling
xoso 788,gambling
codedevapp,safe
corujaz,gambling
amigonaosecompra,safe
csgoezknife,gambling
ggconcursos,safe
ilbe,safe
wirecorp,safe
principal,safe
peakgames,safe
ethos,safe
operacoes,safe
springer,safe
exametoxicologico,safe
tplinknbu,safe
i 9 bet 22,gambling
wager 123,gambling
taison 3,gambling
betdsi,gambling
postomirian,safe
kygen,safe
fischer,safe
m 8 winvip,gambling
88 thaicasinoslots,gambling
afun,gambling
yarabrasil,safe
slotino,gambling
folhamatic,safe
iacs,safe
87 vnd,gambling
casastoantonio,safe
jtexpress,safe
formacaomercadologica,safe
01 x,safe
selfstudys,safe
fortunejack,gambling
vanguardngr,safe
ssv 288,gambling
maximustecidos,safe
guts,gambling
betextratime,gambling
mayksystem,safe
flecha 69 k,gambling
cloudwaysapps,safe
ql-urp,gambling
yamakawa,safe
csgorambopot,gambling
contigo,safe
claudinosa,safe
iabahost,safe
eng,safe
g 9 vip,gambling
choibec 88,gambling
weblocal,safe
unifafibe,safe
virtualead,safe
nate,safe
b 52,gambling
wfamazonsg,gambling
v 9 betwin,gambling
ngcluster,safe
qh 232,gambling
equifax,safe
vsports,gambling
d 80720 w-portal,gambling
z 5 tk-noticias,gambling
tk 88 l,gambling
taigameiwin 68,gambling
duodigital,safe
ruraltec,safe
betway,gambling
evup,safe
nossaaposta,gambling
site 8,safe
adnkronos,safe
v 9 beta,gambling
vn 88 hn,gambling
editorajbc,safe
vipfrase,safe
bharian,safe
famportal,safe
institutofernandabenead,safe
senarpr,safe
zol,safe
stv,safe
frutifica,safe
wishmaker,gambling
qh 250,gambling
caesalcasa,safe
porno 365,safe
paradigmabs,safe
clinicaavanttos,safe
betcruise,gambling
we 1 wingame,gambling
lenscope,safe
butterflybingo,gambling
tur,safe
noaccountcasino,gambling
americasbookie,gambling
l 0 tto 1119,gambling
wager,gambling
tritondigital,safe
cursopoliedro,safe
globalwagering,gambling
bookmaker,gambling
royalslots,gambling
iscaecompanhia,safe
taison 7,gambling
hiatto,safe
luxurycasino,gambling
k 8 asia 89,gambling
melhoresdestinos,safe
backtrace,safe
playamo,gambling
adsrvr,safe
garageskins,safe
betepic,gambling
w 88 c 1,gambling
vietvwin,gambling
unibet,gambling
kingspan-isoeste,safe
spartansslots,gambling
ikesaki,safe
1 win-bet,gambling
championsbet,gambling
marinaparkrs,safe
phncdn,safe
33 winz,gambling
mobocasino,gambling
creditwagering,gambling
minutemedia-prebid,safe
gamerikvip,gambling
playtika,safe
resmed,safe
betfan,gambling
barato,safe
thaicasinosonline,gambling
knnbrasil,safe
vianuvem,safe
svv 388,gambling
windowsphone,safe
9 e 3 c,gambling
1 h 1 m 4 o,gambling
securedvisit,safe
planetofbets,gambling
looselines,gambling
useepulari,safe
7-zip,safe
bola 88,gambling
cpsc,safe
gofile,safe
imagefap,safe
sportsplace 88,gambling
puo 58 rb,gambling
lixi 88 vipzb,gambling
bravo 188,gambling
ufdpar,safe
tl-0 l,gambling
dafapromo,gambling
nghttp 2,safe
vidmate-official,safe
portaldaflorencio,safe
luckydays,gambling
ifortuna,gambling
99 bet,gambling
d 9 bet 38,gambling
cdnhwc 6,safe
participa,safe
sum 27,gambling
go 99 code,gambling
page,safe
guestlistbingo,gambling
noticiasautomotivas,safe
reddogcasinobonuses,gambling
iwin 888,gambling
fiu,safe
fox-nk,gambling
bumlam,safe
won 88,gambling
fb 88 id,gambling
g 9 ke-foto,gambling
mactan,safe
ucabet,gambling
unirg,safe
okking,gambling
liveball,safe
cia,safe
k 8 asia 79,gambling
fbmfja 95,gambling
webhaus,safe
viks,gambling
ladbrokes,gambling
fab,safe
boratickets,safe
dp 313,gambling
gomesdacosta,safe
csgoput,gambling
voysaude,safe
pinup-a,safe
fb 88 day,gambling
valedosol,safe
sandai,safe
hotcartoon,safe
ittv,safe
vpytzesc,gambling
ssl-images-amazon,safe
k 8 fb,gambling
3 i 5 k 8,gambling
vip 11,gambling
ee 88,gambling
4 e 3 y 5 d 1 m,gambling
viamarte,safe
bussolasocial,safe
taison 9,gambling
dpcnet,safe
fernandochagasimoveis,safe
elo,safe
sobreip,safe
serra,safe
ilpost,safe
upbet,gambling
taiwanlottery,gambling
k 8 asia 92,gambling
homerunsportsbetting,gambling
email,safe
bambuser,safe
maze,safe
litoralcar,safe
nsone,safe
fansly,safe
tecnoporto,safe
82 vnd,gambling
xxpkg,safe
dyson,safe
zentrick,safe
i 9 bet 17,gambling
aniview,safe
8 day,gambling
rich 365,gambling
ndmdhs,safe
telesp,safe
3 u 4 y 8 p 3 i,gambling
dronline 24 h,safe
joinbet,gambling
tarodemarselha,safe
idlixku,safe
casinointense-slots,gambling
iwinclub,gambling
ngtelecom,safe
33 win,gambling
netdna-ssl,safe
bizu,safe
bet 2875,gambling
ukcasinoclub,gambling
mm 99,gambling
i 9 bet 79,gambling
xvideos 5,safe
overwolf,safe
netflix,safe
kshost,safe
fun 88 fifa,gambling
cinemark,safe
mydesi,safe
sportybet,gambling
ourpricebet,gambling
nipcable,safe
qh 52,gambling
riqueza-dourada 777,gambling
we-ducatipg,gambling
bestecasino,gambling
rostelecom,safe
betredkings,gambling
i 9 bet 124,gambling
ibyte,safe
uniararas,safe
redeinspiraeducadores,safe
sun 15,gambling
gotosportsbook,gambling
w 99,gambling
fsl 11,gambling
ifg,safe
leaguex,gambling
sigveiculos,safe
fenix 123 k,gambling
6 u 7 e 4 e,gambling
vivaro,gambling
fun-bet,gambling
tf 88 vn,gambling
sv 88 vn,gambling
km 1888866 b,gambling
thelotter,gambling
aleam,safe
adaptogen,safe
keotot,gambling
i 9 bet 112,gambling
gprecode,safe
mimecast,safe
lavoisier,safe
ajato,safe
clickenter,safe
seda,safe
choihitclub,gambling
new 88 w,gambling
drogal,safe
goldenbetsng,gambling
choiwon 88,gambling
salesforce-scrt,safe
tot 88,gambling
detonibeauty,safe
elconfidencial,safe
go 88 p,gambling
batball 11,gambling
oestadoce,safe
go 50,gambling
sin 88 s,gambling
333666 j,gambling
rsasecurity,safe
petropolis,safe
interwetten,gambling
myteampoker,gambling
99 vina,gambling
betrockit,gambling
wymhoki,gambling
ee 8801,gambling
i 9 bet 999,gambling
isaac,safe
t-systems,safe
fun 1008,gambling
coopbet,gambling
1 e 4 d 1,gambling
bk 8 hot,gambling
bravocupom,safe
rr 88,gambling
spinstation,gambling
apuestatotal,safe
sporttime,gambling
eletronicabr,safe
cwin 04,gambling
nrdc,safe
amazon,safe
3 tmynow,gambling
five-88,gambling
topjogo,gambling
905 xyt,gambling
ovocasino,gambling
mu 88,gambling
librus,safe
cvccorp,safe
vn 789,gambling
alo 789 viet,gambling
nordicbet,gambling
pangeia 96,safe
queniusz,safe
guep,safe
tendawifi,safe
movilepay,safe
speedifyvolcai,safe
st 666 yet,gambling
y 940 mu-noticias,gambling
sol 86,gambling
topigri,gambling
whjjtl,gambling
k 8 tip 30,gambling
brasscom,safe
padilhatelecom,safe
csgo-gambler,gambling
agenciasus,safe
gachoic 1,gambling
eloterija,gambling
big-h 2,gambling
dabet,gambling
roeyecdn,safe
8 xbet 05,gambling
cwin,gambling
bookies,gambling
kreitlow,safe
qh 235,gambling
tcu,safe
businessinsider,safe
679 king,gambling
novelbin,safe
blogspot,safe
spl 92-media,gambling
araraz,gambling
mobalytics,safe
agenciapatriciagalvao,safe
volcfcdndvs 1,safe
coffeebingo,gambling
cancer,safe
nobilia,safe
we 1 win 6,gambling
vndaga 88,gambling
wearever,safe
yolasite,safe
oralsin,safe
agenbetplace 88,gambling
pgnet,safe
f 8 betapp,gambling
medex,safe
hibiny,safe
finaz,safe
roletagratis,gambling
i 9 bet 74,gambling
focopublicacoes,safe
tospotify,safe
painelfornecedor,safe
gametime 88,gambling
w 3 schools,safe
dns 2,safe
catolicasc,safe
notion,safe
s 999 h,gambling
saobet,gambling
com 21,safe
parasino,gambling
yyvip,gambling
paqueradolado,safe
sharechat,safe
k 8 asia 90,gambling
fastbet,gambling
depositbetplace 88,gambling
vn 138 viet,gambling
getcrm,safe
21 casino,gambling
s 999 e,gambling
bkbet,gambling
ttfordvip,gambling
anteldata,safe
armoniacasa,safe
bgdns,safe
webbookmakers,gambling
fortunus,safe
l 0 tto 2755,gambling
apostas 198 k,gambling
5 ch,safe
v 9 jvn,gambling
fiesp,safe
webcrial,safe
max 79,gambling
perfectdomain,safe
unwomen,safe
redebrasil,safe
procer,safe
to 188 xj,gambling
takarakuji-official,gambling
blueapron,safe
carapicuiba,safe
betus,gambling
taixiusunwin,gambling
unimedcostadosol,safe
truist,safe
macaubet,gambling
iprojetei,safe
vwinvnbet,gambling
csgofunpot,gambling
hb 8875,gambling
palmas,safe
diskingressos,safe
abplive,safe
santabarbara,safe
luckymeslots,gambling
biobiochile,safe
sodo 6868,gambling
vegascrestcasino,gambling
litgorod,safe
xplace,safe
betrivers,gambling
mewahbonus,gambling
marinacalcados,safe
socalsportbook,gambling
actiononsports,gambling
uchi,safe
screener,safe
bandarklik 4 d,gambling
crowntraining,safe
urbanovitalino,safe
stby,gambling
amplitude,safe
pointmediatracker,safe
16 personalities,safe
188 bet,gambling
krugerbets,gambling
maxitip,gambling
novagne,safe
btcsportsbet,gambling
fb 88,gambling
ae 88839,gambling
7 jackpots,gambling
sv 88,gambling
covers,safe
5123 b,gambling
marutisuzuki,safe
hollywoodsportsbook,gambling
lanterna 99 x,gambling
netgear,safe
katiesbingo,gambling
tipbet,gambling
vip 79,gambling
wjcasino,gambling
expekt,gambling
tecmundo,safe
ae 88840,gambling
casaevideo,safe
congonhas,safe
cian,safe
saviatendimento,safe
unisantos,safe
tvnovelas,safe
gpluxuria,safe
partypoker,gambling
mypowerplay 11,gambling
botinok,safe
palladiumcasino,gambling
wixstars,gambling
casilando,gambling
mykronos,safe
smartadserver,safe
jonbet,gambling
medcel,safe
fundacaoculturaldecuritiba,safe
igamecj,safe
begrowth,safe
tamarine,safe
betplace 88,gambling
device 9,safe
anonibet,gambling
sundaysky,safe
haproxyedge,safe
bemsign,safe
horadoempregodf,safe
xbet 365,gambling
visualhost,safe
oimpacto,safe
vwin 010,gambling
kosmonautcasino,gambling
stumbleupon,safe
likebrasil,safe
regionalwinsite,gambling
jbbbet,gambling
whitehouse,safe
989 bet,gambling
vturb,safe
alagoinhas,safe
sanfrancasino,gambling
masuk 4 d,gambling
comeon,gambling
8 vnd 7,gambling
jun 88 k,gambling
portaldosmunicipios,safe
onbet 2,gambling
c 54 bbb,gambling
netiz,safe
www-ee 88,gambling
naijabet,gambling
astroz,gambling
qualitab,safe
thevw 155,gambling
juvocredito,safe
newcastle,safe
i 9 bet 115,gambling
lapalabradeldia,safe
laracasts,safe
contorabet,gambling
fastshop,safe
33 across,safe
rtmbrasil,safe
bet 7 k,gambling
makrosystem,safe
mailchimp,safe
sodo,gambling
kirsikka,gambling
pinimg,safe
agentspinner,gambling
unibb,safe
choi 99,gambling
meridianbet,gambling
8 xbet 06,gambling
hjnet,safe
6 qnn-noticias,gambling
stake,gambling
mxdconceito,safe
betuniq,gambling
bet 9 ja,gambling
taiqqlive,gambling
samehadaku,safe
capodarte,safe
pubnubapi,safe
30 winvn,gambling
cnn,safe
kuwinvip,gambling
sip,safe
fi 88,gambling
jss 77,gambling
zefoy,safe
bobcasino,gambling
ywslink,gambling
efirbet,gambling
sanook,safe
new 88 ok 1,safe
usadofacil,safe
net 88,gambling
stakers,gambling
betfred,gambling
gold 123,gambling
ch-xxyc,gambling
distribuidoracp,safe
oltsoft,safe
wtscorporate,safe
f 8 bet 4,gambling
osdig,safe
bet 33,gambling
betonline 247,gambling
powempresas,safe
lq-news,gambling
lformolo,safe
babygooutlet,safe
zee 5,safe
22 zalo,gambling
tododia,safe
wtsoftware,safe
favbet,gambling
fb 88 v,gambling
5 play,safe
upehelp,safe
jetbull,gambling
rixengine,safe
jogos 360,safe
radio 88 e 7 fm,safe
cidadao,safe
ecommercestore,safe
ano 88,gambling
sigo,safe
ispot,safe
plexodds,gambling
mameluko,safe
lixi 88,gambling
studiospirit,safe
filtrosnewtec,safe
orlandocasino,gambling
kubet 9,gambling
nbet,gambling
torre 21,gambling
sistemafaep,safe
jenkins,safe
github,safe
bong 8899,gambling
cbet,gambling
bitfuel,safe
italianofacilbr,safe
nohu,gambling
csgo 777,gambling
allhorseracing,gambling
usercentrics,safe
hollywoodreporter,safe
the-inteljp,gambling
ku 6133,gambling
apontador,safe
togetter,safe
viprik,gambling
csgolucky,gambling
csgojackpot,gambling
pbrasil,safe
gaviao 55,gambling
nordkurier,safe
o 2 eslk-site,gambling
78 win 01,gambling
exacti,safe
kufun,gambling
midiati,safe
talon-sec,safe
jornalcorreiodovale,safe
netbet,gambling
olivre,safe
rumble,safe
mocbus,safe
portalcaparao,safe
sabnet,safe
ligaonepiece,safe
csgoluck,gambling
ed 3688,gambling
aldos,safe
101 ae 888,gambling
assistonline,safe
bepe 88,gambling
faber,gambling
9 mod,safe
licitacoes-e,safe
carnival,safe
8 k 88,gambling
safraempresas,safe
betregal,gambling
roda 789,gambling
genesiscasino,gambling
8 xbet 11,gambling
furacao,safe
lojasebocultural,safe
lionbet,gambling
thvwbet,gambling
playfortune,safe
lichess,safe
smartlivegaming,gambling
vivastelecom,safe
hpbet,gambling
sportsbetting,gambling
playfrank,gambling
identidadefacil,safe
vacasino,gambling
gem-rx,gambling
nease,safe
mubet,gambling
k 8 game 92,gambling
uwaterloo,safe
fundasp,safe
bitcoinsports,gambling
bcorporation,safe
w 88 st,gambling
betprimetime,gambling
verajohn,gambling
ip 4 y,safe
mtprev,safe
maringapost,safe
pointcondominio,safe
diariosp,safe
goldnettelecom,safe
seiziguitars,safe
361-spot,gambling
bamasportsbook,gambling
fogo 456,gambling
